id_driver,recency,frequency,monetary_value,updated_at
98254,6,14,1631,2020-03-23 07:12:30.410 UTC
84429,21,33,1480,2020-03-23 07:12:30.410 UTC
74467,21,7,2483,2020-03-23 07:12:30.410 UTC
520758,9,65,2417,2020-03-23 07:12:30.410 UTC
250972,8,222,5686,2020-03-23 07:12:30.410 UTC
19389,6,158,14079,2020-03-23 07:12:30.410 UTC
412015,0,26,1962,2020-03-23 07:12:30.410 UTC
282506,7,171,4948,2020-03-23 07:12:30.410 UTC
270854,7,181,5345,2020-03-23 07:12:30.410 UTC
475321,8,94,4237,2020-03-23 07:12:30.410 UTC
222300,8,100,3848,2020-03-23 07:12:30.410 UTC
55869,7,167,8984,2020-03-23 07:12:30.410 UTC
647305,14,45,1121,2020-03-23 07:12:30.410 UTC
77077,8,73,5786,2020-03-23 07:12:30.410 UTC
407324,8,168,6642,2020-03-23 07:12:30.410 UTC
477640,8,167,4933,2020-03-23 07:12:30.410 UTC
159310,10,17,2144,2020-03-23 07:12:30.410 UTC
157139,6,183,7190,2020-03-23 07:12:30.410 UTC
564417,9,30,773,2020-03-23 07:12:30.410 UTC
31068,9,17,2283,2020-03-23 07:12:30.410 UTC
344994,5,79,3796,2020-03-23 07:12:30.410 UTC
611406,6,216,3483,2020-03-23 07:12:30.410 UTC
309380,6,63,4563,2020-03-23 07:12:30.410 UTC
162172,6,142,3164,2020-03-23 07:12:30.410 UTC
103612,7,118,4384,2020-03-23 07:12:30.410 UTC
6024,6,53,1117,2020-03-23 07:12:30.410 UTC
625031,13,111,2647,2020-03-23 07:12:30.410 UTC
609368,1,135,1672,2020-03-23 07:12:30.410 UTC
141740,6,73,5205,2020-03-23 07:12:30.410 UTC
192938,18,23,1896,2020-03-23 07:12:30.410 UTC
205579,1,194,7056,2020-03-23 07:12:30.410 UTC
236433,6,126,3187,2020-03-23 07:12:30.410 UTC
121040,0,80,3387,2020-03-23 07:12:30.410 UTC
372842,6,131,3811,2020-03-23 07:12:30.410 UTC
137929,6,207,7181,2020-03-23 07:12:30.410 UTC
326577,9,110,3597,2020-03-23 07:12:30.410 UTC
382288,8,118,3319,2020-03-23 07:12:30.410 UTC
